pas_lineametro,pas_periodo,pas_valor
METRO_CUENCA_7_INTEGRADOS,202005,103007
METRO_LINEA_H,202005,19800
METRO_LINEA_1_BUSES,202005,541983
METRO_LINEA_L,202005,1
METRO_LINEA_K,202005,182595
METRO_LINEA_K,201905,680494
METRO_CUENCA_9_INTEGRADOS,201905,153124
METRO_CUENCA_6,201905,1357964
METRO_LINEA_L,201905,61040
METRO_CUENCA_3,201905,708986
METRO_LINEA_1_BUSES,201905,2174077
METRO_LINEA_B,201905,2313919
METRO_CUENCA_5_INTEGRADOS,201905,518730
METRO_CUENCA_7_INTEGRADOS,201905,489583
METRO_TRANVIA,201905,866239
METRO_LINEA_H,201905,67131
METRO_LINEA_A,201905,13980101
METRO_LINEA_2_BUSES,201905,356627
METRO_LINEA_J,201905,424629
METRO_LINEA_J,201805,413945
METRO_LINEA_A,201805,14200846
METRO_LINEA_2_BUSES,201805,345774
METRO_LINEA_H,201805,60034
METRO_LINEA_L,201805,60911
METRO_LINEA_B,201805,2262275
METRO_LINEA_K,201805,626916
METRO_TRANVIA,201805,740367
METRO_CUENCA_3,201805,650703
METRO_LINEA_1_BUSES,201805,2185949
METRO_CUENCA_9_INTEGRADOS,201805,131307
METRO_CUENCA_7_INTEGRADOS,201805,410423
METRO_CUENCA_5_INTEGRADOS,201805,437453
METRO_CUENCA_6,201805,1172990
METRO_CUENCA_7_INTEGRADOS,201705,401992
METRO_LINEA_L,201705,64428
METRO_LINEA_A,201705,15019385
METRO_CUENCA_5_INTEGRADOS,201705,412375
METRO_CUENCA_3,201705,603701
METRO_LINEA_2_BUSES,201705,328704
METRO_CUENCA_9_INTEGRADOS,201705,126624
METRO_LINEA_J,201705,443882
METRO_LINEA_K,201705,634131
METRO_CUENCA_6,201705,1049286
METRO_LINEA_H,201705,55940
METRO_TRANVIA,201705,586741
METRO_LINEA_1_BUSES,201705,2076335
METRO_LINEA_B,201705,2691378
METRO_CUENCA_6,201605,1054035
METRO_TRANVIA,201605,318439
METRO_CUENCA_5_INTEGRADOS,201605,0
METRO_LINEA_K,201605,553311
METRO_LINEA_H,201605,0
METRO_CUENCA_3,201605,546524
METRO_LINEA_J,201605,409190
METRO_LINEA_2_BUSES,201605,327785
METRO_CUENCA_7_INTEGRADOS,201605,374641
METRO_LINEA_B,201605,2556056
METRO_LINEA_A,201605,14727180
METRO_LINEA_1_BUSES,201605,1933563
METRO_LINEA_L,201605,60007
METRO_LINEA_2_BUSES,201505,331802
METRO_CUENCA_3,201505,484266
METRO_LINEA_1_BUSES,201505,1879227
METRO_CUENCA_6,201505,916787
METRO_LINEA_J,201505,394017
METRO_LINEA_A,201505,14201302
METRO_LINEA_L,201505,71681
METRO_LINEA_K,201505,607246
METRO_LINEA_B,201505,2435841
METRO_LINEA_K,201405,587954
METRO_LINEA_B,201405,2308809
METRO_LINEA_1_BUSES,201405,1843662
METRO_CUENCA_3,201405,464532
METRO_LINEA_A,201405,13301809
METRO_LINEA_L,201405,48108
METRO_CUENCA_6,201405,824404
METRO_LINEA_2_BUSES,201405,376770
METRO_LINEA_J,201405,375397
METRO_CUENCA_3,201305,0
METRO_LINEA_2_BUSES,201305,112898
METRO_LINEA_J,201305,312079
METRO_CUENCA_6,201305,0
METRO_LINEA_K,201305,549039
METRO_LINEA_1_BUSES,201305,1324964
METRO_LINEA_A,201305,12438537
METRO_LINEA_L,201305,54575
METRO_LINEA_B,201305,2148391
METRO_LINEA_L,201205,57399
METRO_LINEA_J,201205,185870
METRO_LINEA_A,201205,11575305
METRO_LINEA_K,201205,520852
METRO_LINEA_B,201205,2064861
METRO_LINEA_1_BUSES,201205,835772
METRO_LINEA_K,201105,525054
METRO_LINEA_B,201105,2037374
METRO_LINEA_J,201105,240581
METRO_LINEA_1_BUSES,201105,0
METRO_LINEA_A,201105,11610943
METRO_LINEA_L,201105,62068
METRO_CUENCA_3,202004,137897
METRO_LINEA_J,202004,87496
METRO_CUENCA_6,202004,301966
METRO_LINEA_B,202004,280688
METRO_LINEA_L,202004,0
METRO_CUENCA_5_INTEGRADOS,202004,20851
METRO_CUENCA_9_INTEGRADOS,202004,16134
METRO_LINEA_H,202004,12798
METRO_LINEA_2_BUSES,202004,61572
METRO_CUENCA_7_INTEGRADOS,202004,57252
METRO_LINEA_A,202004,1971885
METRO_LINEA_1_BUSES,202004,364737
METRO_LINEA_K,202004,136355
METRO_TRANVIA,202004,137870
